iri	iri_label	pathogen	pathogen_label	host	host_label	plantstructure	plantstructure_label
OOPS:xxxxxxx	Pseudomonas cichorii Bacterial leaf spot of Gerbera jamesonii H. Bolus ex J. D. Hook	NCBITaxon:1441629	Pseudomonas cichorii (Swingle 1925) Stapp 1928	NCBITaxon:13547	Gerbera jamesonii H. Bolus ex J. D. Hook	PO_0025034	leaf
OOPS:xxxxxxx	Ralstonia solanacearum Southern wilt of Gerbera jamesonii H. Bolus ex J. D. Hook	NCBITaxon:1457195	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	NCBITaxon:13547	Gerbera jamesonii H. Bolus ex J. D. Hook	PO_0000003	whole plant
OOPS:xxxxxxx	Alternaria alternata Alternaria leaf spot of Gerbera jamesonii H. Bolus ex J. D. Hook	NCBITaxon:187775	Alternaria alternata (Fr.	NCBITaxon:13547	Gerbera jamesonii H. Bolus ex J. D. Hook	PO_0025034	leaf
OOPS:xxxxxxx	Thielaviopsis basicola Black root rot of Gerbera jamesonii H. Bolus ex J. D. Hook	NCBITaxon:124036	Thielaviopsis basicola (Berk. & Broome) Ferraris	NCBITaxon:13547	Gerbera jamesonii H. Bolus ex J. D. Hook	PO_0009005	root
OOPS:xxxxxxx	Chalara elegans Nag Raj & Kendr. [synanamorph] Black root rot of Gerbera jamesonii H. Bolus ex J. D. Hook	NCBITaxon:301394	Chalara elegans Nag Raj & Kendr. [synanamorph]	NCBITaxon:13547	Gerbera jamesonii H. Bolus ex J. D. Hook	PO_0009005	root
OOPS:xxxxxxx	Botrytis cinerea Pers. Botrytis blight of Gerbera jamesonii H. Bolus ex J. D. Hook	NCBITaxon:1290391	Botrytis cinerea Pers.	NCBITaxon:13547	Gerbera jamesonii H. Bolus ex J. D. Hook	PO_0000003	whole plant
OOPS:xxxxxxx	Cercospora gerberae Chupp & Viegas Cercospora leaf spot of Gerbera jamesonii H. Bolus ex J. D. Hook	NCBITaxon:1247214	Cercospora gerberae Chupp & Viegas	NCBITaxon:13547	Gerbera jamesonii H. Bolus ex J. D. Hook	PO_0025034	leaf
OOPS:xxxxxxx	Plasmopara sp. Downy mildew of Gerbera jamesonii H. Bolus ex J. D. Hook	NCBITaxon:4780	Plasmopara sp.	NCBITaxon:13547	Gerbera jamesonii H. Bolus ex J. D. Hook	PO_0000003	whole plant
OOPS:xxxxxxx	Fusarium solani Fusarium crown rot of Gerbera jamesonii H. Bolus ex J. D. Hook	NCBITaxon:1501798	Fusarium solani (Mart.) Sacc.	NCBITaxon:13547	Gerbera jamesonii H. Bolus ex J. D. Hook	PO_0000003	whole plant
OOPS:xxxxxxx	Fusarium oxysporum Schlechtend. Fusarium root rot of Gerbera jamesonii H. Bolus ex J. D. Hook	NCBITaxon:909455	Fusarium oxysporum Schlechtend.	NCBITaxon:13547	Gerbera jamesonii H. Bolus ex J. D. Hook	PO_0009005	root
