<http://purl.obolibrary.org/obo/PDO_0000079>	"Microdochium oryzae pecky rice fungal disease"	"A pecky rice fungal disease (PDO:0000090) caused by Microdochium oryzae (PDO:0000048)."
<http://purl.obolibrary.org/obo/PDO_0000047>	"rice leaf scald fungal disease"	"A rice fungal disease (PDO:0000081) caused by Microdochium oryzae (PDO:0000048)."
<http://purl.obolibrary.org/obo/PDO_0000272>	"maize Gonatobotrys simplex minor ear rot fungal disease"	"A maize fungal disease (PDO:0000012) caused by Gonatobotrys simplex (PDO:XXX)."
<http://purl.obolibrary.org/obo/PDO_0000153>	"maize purple leaf sheath bacterial disease"	"A maize bacterial disease (PDO:0000011) that is caused by hemiparasitic bacteria (PDO:XXX)."
<http://purl.obolibrary.org/obo/PDO_0000217>	"maize Ascochyta ischaemi yellow leaf blight fungal disease"	"A maize fungal disease (PDO:0000012) caused by Ascochyta ischaemi (PDO:XXX)."
<http://purl.obolibrary.org/obo/PDO_0000196>	"maize Botryosphaeria gray ear rot fungal disease"	"A maize fungal disease (PDO:0000012) caused by Botryosphaeria zeae (PDO:xxx)."
<http://purl.obolibrary.org/obo/PDO_0000045>	"rice leaf smut fungal disease"	"A rice fungal disease (PDO:0000081) caused by Entyloma oryzae (PDO:0000046)."
<http://purl.obolibrary.org/obo/PDO_0000092>	"bacterial pecky rice"	"A rice bacterial disease (PDO:0000003) caused by one or more bacterial biotic causal agents (PDO:0000016)."
<http://purl.obolibrary.org/obo/PDO_0000090>	"pecky rice fungal disease"	"A rice fungal disease (PDO:0000081) caused by one or more of Bipolaris oryzae (PDO:0000034), Curvularia spp. (PDO:0000074), Fusarium spp. (PDO:0000076), Microdochium oryzae (PDO:0000048), and Sarocladium oryzae (PDO:0000083)."
<http://purl.obolibrary.org/obo/PDO_0000220>	"maize Sclerophthora brown stripe downy mildew fungal disease"	"A maize fungal disease (PDO:0000012) caused by Sclerophthora rayssiae (PDO:XXX)."
<http://purl.obolibrary.org/obo/PDO_0000197>	"maize Physalospora ear rot fungal disease"	"A maize fungal disease (PDO:0000012) caused by Botryosphaeria festucae (PDO:xxx)."
<http://purl.obolibrary.org/obo/PDO_0000131>	"rice tungro viral disease"	"A rice viral disease (PDO:0000007) caused by one or more of rice tungro spherical virus (PDO:0000143), rice tungro bacilliform virus (PDO:0000144)."
<http://purl.obolibrary.org/obo/PDO_0000080>	"rice water-mold fungal disease"	"A rice fungal disease (PDO:0000081) caused by one or more of Achlya conspicua (PDO:0000104), A. klebsiana (PDO:0000105), Fusarium spp.  (PDO:0000076), Pythium spp. (PDO:0000063), P. dissotocum (PDO:0000066), P. spinosum (PDO:0000072)."
<http://purl.obolibrary.org/obo/PDO_0000063>	"rice root rot fungal disease"	"A rice fungal disease (PDO:0000081) caused by one or more of Fusarium spp. (PDO:0000076), Pythium spp. (PDO:0000064) such as P. dissotocum Drechs. (PDO:0000066), P. spinosum Sawada (PDO:0000072)."
<http://purl.obolibrary.org/obo/PDO_0000093>	"rice seedling blight fungal disease"	"A rice fungal disease (PDO:0000081) caused by one or more of Bipolaris oryzae (PDO:0000034), Curvularia spp. (PDO:0000074), Fusarium spp. (PDO:0000076), Rhizoctonia solani (PDO:0000088), Sclerotium rolfsii (PDO:0000114), or other pathogenic fungi."
<http://purl.obolibrary.org/obo/PDO_0000193>	"maize Ascochyta minor leaf spot fungal disease"	"A maize fungal disease (PDO:0000012) caused by Ascochyta tritici (PDO:xxx), Ascochyta maydis (PDO:xxx), and Ascochyta zeicola (PDO:xxx)."
<http://purl.obolibrary.org/obo/PDO_0000198>	"maize Hormodendrum ear rot fungal disease"	"A maize fungal disease (PDO:0000012) caused by Cladosporium cladosporioides(PDO:xxx), and .Cladosporium herbarum (PDO:xxx)."
