--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
| PDO                                          | pdoLabel                                                                              | OOPS                                          | oopsLabel                                                           |
==============================================================================================================================================================================================================================================================
| <http://purl.obolibrary.org/obo/PDO_0000206> | "maize Epicoccum minor leaf spot fungal disease"^^xsd:string                          | <http://purl.obolibrary.org/obo/OOPS_1002936> | "Leaf spots, minor"                                                 |
| <http://purl.obolibrary.org/obo/PDO_0000206> | "maize Epicoccum minor leaf spot fungal disease"^^xsd:string                          | <http://purl.obolibrary.org/obo/OOPS_1002937> | "Red kernel disease (ear mold, leaf and seed rot)"                  |
| <http://purl.obolibrary.org/obo/PDO_0000248> | "maize Fusarium seed rot-seedling blight fungal disease"^^xsd:string                  | <http://purl.obolibrary.org/obo/OOPS_1002942> | "Seed rot-seedling blight"                                          |
| <http://purl.obolibrary.org/obo/PDO_0000248> | "maize Fusarium seed rot-seedling blight fungal disease"^^xsd:string                  | <http://purl.obolibrary.org/obo/OOPS_1002941> | "Fusarium kernel, root and stalk rot, seed rot and seedling blight" |
| <http://purl.obolibrary.org/obo/PDO_0000065> | "rice Pythium dissotocum root rot fungal disease"^^xsd:string                         | <http://purl.obolibrary.org/obo/OOPS_1002874> | "Water-mold (seed-rot and seedling disease)"                        |
| <http://purl.obolibrary.org/obo/PDO_0000065> | "rice Pythium dissotocum root rot fungal disease"^^xsd:string                         | <http://purl.obolibrary.org/obo/OOPS_1002873> | "Root rots"                                                         |
| <http://purl.obolibrary.org/obo/PDO_0000147> | "maize bacterial stalk rot disease"^^xsd:string                                       | <http://purl.obolibrary.org/obo/OOPS_1003106> | "Bacterial stalk rot"                                               |
| <http://purl.obolibrary.org/obo/PDO_0000147> | "maize bacterial stalk rot disease"^^xsd:string                                       | <http://purl.obolibrary.org/obo/OOPS_1003105> | "Bacterial stalk rot"                                               |
| <http://purl.obolibrary.org/obo/PDO_0000059> | "rice stem rot fungal disease"^^xsd:string                                            | <http://purl.obolibrary.org/obo/OOPS_1002848> | "Stem rot"                                                          |
| <http://purl.obolibrary.org/obo/PDO_0000059> | "rice stem rot fungal disease"^^xsd:string                                            | <http://purl.obolibrary.org/obo/OOPS_1002847> | "Stem rot"                                                          |
| <http://purl.obolibrary.org/obo/PDO_0000275> | "maize Rhizopus stolonifer minor ear rot fungal disease"^^xsd:string                  | <http://purl.obolibrary.org/obo/OOPS_1003058> | "Ear rots, minor"                                                   |
| <http://purl.obolibrary.org/obo/PDO_0000265> | "maize Curvularia senegalensis leaf spot fungal disease"^^xsd:string                  | <http://purl.obolibrary.org/obo/OOPS_1002976> | "Curvularia leaf spot"                                              |
| <http://purl.obolibrary.org/obo/PDO_0000253> | "maize Aspergillus kernel rot fungal disease"^^xsd:string                             | <http://purl.obolibrary.org/obo/OOPS_1003069> | "Aspergillus ear and kernel rot"                                    |
| <http://purl.obolibrary.org/obo/PDO_0000242> | "maize Ustilaginoidea false smut fungal disease"^^xsd:string                          | <http://purl.obolibrary.org/obo/OOPS_1002940> | "Smut, false"                                                       |
| <http://purl.obolibrary.org/obo/PDO_0000073> | "rice Pythium spinosum root rot fungal disease"^^xsd:string                           | <http://purl.obolibrary.org/obo/OOPS_1002875> | "Root rots"                                                         |
| <http://purl.obolibrary.org/obo/PDO_0000073> | "rice Pythium spinosum root rot fungal disease"^^xsd:string                           | <http://purl.obolibrary.org/obo/OOPS_1002876> | "Water-mold (seed-rot and seedling disease)"                        |
| <http://purl.obolibrary.org/obo/PDO_0000049> | "rice narrow brown leaf spot fungal disease"^^xsd:string                              | <http://purl.obolibrary.org/obo/OOPS_1002870> | "Narrow brown leaf spot"                                            |
| <http://purl.obolibrary.org/obo/PDO_0000049> | "rice narrow brown leaf spot fungal disease"^^xsd:string                              | <http://purl.obolibrary.org/obo/OOPS_1002871> | "Narrow brown leaf spot"                                            |
| <http://purl.obolibrary.org/obo/PDO_0000043> | "rice kernel smut fungal disease"^^xsd:string                                         | <http://purl.obolibrary.org/obo/OOPS_1002846> | "Kernel smut"                                                       |
| <http://purl.obolibrary.org/obo/PDO_0000189> | "maize Alternaria alternata minor ear rot fungal disease"^^xsd:string                 | <http://purl.obolibrary.org/obo/OOPS_1003090> | "Root rots, minor"                                                  |
| <http://purl.obolibrary.org/obo/PDO_0000189> | "maize Alternaria alternata minor ear rot fungal disease"^^xsd:string                 | <http://purl.obolibrary.org/obo/OOPS_1003088> | "Ear rots, minor"                                                   |
