defined_class	defined_class label	pathogen	pathogen label	host	host label	plantstructure	plantstructure label	synonyms
PDO:0000078	Bipolaris oryzae pecky rice fungal disease	NCBITaxon:101162		NCBITaxon:4530		PO:0000003		
PDO:0000075	Curvularia pecky rice fungal disease	NCBITaxon:5502		NCBITaxon:4530		PO:0000003		
PDO:0000077	Fusarium pecky rice fungal disease	NCBITaxon:5506		NCBITaxon:4530		PO:0000003		
PDO:0000189	maize Alternaria alternata minor leaf rot fungal disease	NCBITaxon:5599		NCBITaxon:4577		PO:0020136		
PDO:0000190	maize Alternaria minor leaf spot fungal disease	NCBITaxon:5599		NCBITaxon:4577		PO:0025034		
PDO:0000191	maize Alternaria minor root rot fungal disease	NCBITaxon:5599		NCBITaxon:4577		PO:0000003		
PDO:0000268	maize Aspergillus flavus leaf rot fungal disease	NCBITaxon:5059		NCBITaxon:4577		PO:0020136		
PDO:0000192	maize Aspergillus glaucus minor leaf rot fungal disease	NCBITaxon:41413		NCBITaxon:4577		PO:0020136		
PDO:0000253	maize Aspergillus kernel rot fungal disease	NCBITaxon:5059		NCBITaxon:4577		PO:0000003		
PDO:0000270	maize Aspergillus minor ear rot fungal disease	NCBITaxon:5052		NCBITaxon:4577		PO:0025597		
PDO:0000267	maize Aspergillus niger leaf rot fungal disease	NCBITaxon:5061		NCBITaxon:4577		PO:0020136		
PDO:0000188	maize Aureobasidium eyespot fungal disease	NCBITaxon:1592451		NCBITaxon:4577		PO:0000003		
PDO:0000011	maize bacterial disease	NCBITaxon:2		NCBITaxon:4577		PO:0009011		
PDO:0000145	maize bacterial leaf blight and stalk rot disease	NCBITaxon:80870		NCBITaxon:4577		PO:0025034		
PDO:0000146	maize bacterial leaf spot disease	NCBITaxon:56459		NCBITaxon:4577		PO:0025034		
PDO:0000148	maize bacterial stalk and top rot disease	NCBITaxon:555		NCBITaxon:4577		PO:0000003		
PDO:0000147	maize bacterial stalk rot disease	NCBITaxon:69219		NCBITaxon:4577		PO:0000003		
PDO:0000149	maize bacterial stripe disease	NCBITaxon:28092		NCBITaxon:4577		PO:0000003		
PDO:0000195	maize Bipolaris leaf rot fungal disease	NCBITaxon:5017		NCBITaxon:4577		PO:0009010		
PDO:0000194	maize Bipolaris minor leaf spot fungal disease	NCBITaxon:45130		NCBITaxon:4577		PO:0025034		
PDO:0000184	maize Bipolaris southern leaf blight fungal disease	NCBITaxon:5016		NCBITaxon:4577		PO:0025034		
PDO:0000269	maize Botrytis cinerea minor leaf rot fungal disease	NCBITaxon:40559		NCBITaxon:4577		PO:0020136		
PDO:0000173	maize bushy stunt phytoplasma disease	NCBITaxon:202462		NCBITaxon:4577		PO:0000003		
PDO:0000174	maize Cercospora gray leaf spot fungal disease	NCBITaxon:135779		NCBITaxon:4577		PO:0025034		
PDO:0000150	maize chocolate spot bacterial disease	NCBITaxon:235275		NCBITaxon:4577		PO:0000003		
PDO:0000199	maize Claviceps ergot fungal disease	NCBITaxon:89175		NCBITaxon:4577		PO:0000003		
PDO:0000260	maize Cochliobolus pallescens leaf spot fungal disease	NCBITaxon:318706		NCBITaxon:4577		PO:0025034		
PDO:0000202	maize Cochliobolus pallescens minor leaf rot fungal disease	NCBITaxon:318706		NCBITaxon:4577		PO:0020136		
PDO:0000249	maize Colletotrichum falcatum Anthracnose leaf blight fungal disease	NCBITaxon:129314		NCBITaxon:4577		PO:0025034		
PDO:0000250	maize Colletotrichum falcatum Anthracnose stalk rot fungal disease	NCBITaxon:129314		NCBITaxon:4577		PO:0000003		
PDO:0000176	maize Colletotrichum graminicola Anthracnose leaf blight fungal disease	NCBITaxon:31870		NCBITaxon:4577		PO:0025034		
PDO:0000177	maize Colletotrichum graminicola Anthracnose stalk rot fungal disease	NCBITaxon:31870		NCBITaxon:4577		PO:0000003		
PDO:0000201	maize Culvularia clavata leaf spot fungal disease	NCBITaxon:95742		NCBITaxon:4577		PO:0025034		
PDO:0000200	maize Cunninghamella minor ear rot fungal disease	NCBITaxon:4852		NCBITaxon:4577		PO:0025597		
PDO:0000261	maize Curvularia eragrostidis leaf spot fungal disease	NCBITaxon:418125		NCBITaxon:4577		PO:0025034		
PDO:0000262	maize Curvularia inaequalis leaf spot fungal disease	NCBITaxon:38902		NCBITaxon:4577		PO:0025034		
