	iri	iri_label	pathogen	pathogen_label	host	host_label	plantstructure	plantstructure_label
7	OOPS:xxxxxxx	Fusarium tricinctum of Dianthus caryophylium L.	NCBITaxon:679429	Fusarium tricinctum (Corda) Sacc.	NCBITaxon:591395	Dianthus caryophylium L.	http://purl.obolibrary.org/obo/PO_0000055	bud
11	OOPS:xxxxxxx	Erwinia spp. of Cocos nucifera L.	NCBITaxon:1435351	Erwinia spp.	NCBITaxon:13894	Cocos nucifera L.	http://purl.obolibrary.org/obo/PO_0000055	bud
12	OOPS:xxxxxxx	Phytophthora palmivora of Cocos nucifera L.	NCBITaxon:4796	Phytophthora palmivora (E.J. Butler) E.J. Butler	NCBITaxon:13894	Cocos nucifera L.	http://purl.obolibrary.org/obo/PO_0000055	bud
13	OOPS:xxxxxxx	P. heveae A. Thompson Phytophthora heveae A. Thompson of Cocos nucifera L.	NCBITaxon:910611	Phytophthora heveae A. Thompson	NCBITaxon:13894	Cocos nucifera L.	http://purl.obolibrary.org/obo/PO_0000055	bud
14	OOPS:xxxxxxx	P. katsurae Ko & Chang Phytophthora katsurae Ko & Chang of Cocos nucifera L.	NCBITaxon:910611	Phytophthora katsurae Ko & Chang	NCBITaxon:13894	Cocos nucifera L.	http://purl.obolibrary.org/obo/PO_0000055	bud
15	OOPS:xxxxxxx	P. nicotianae Breda de Haan Phytophthora nicotianae Breda de Haan of Cocos nucifera L.	NCBITaxon:4790	Phytophthora nicotianae Breda de Haan	NCBITaxon:13894	Cocos nucifera L.	http://purl.obolibrary.org/obo/PO_0000055	bud
17	OOPS:xxxxxxx	F. solani Fusarium solani of Cocos nucifera L.	NCBITaxon:1501798	Fusarium solani (Mart.) Sacc.	NCBITaxon:13894	Cocos nucifera L.	http://purl.obolibrary.org/obo/PO_0000055	bud
18	OOPS:xxxxxxx	Graphium sp. of Cocos nucifera L.	NCBITaxon:76204	Graphium sp.	NCBITaxon:13894	Cocos nucifera L.	http://purl.obolibrary.org/obo/PO_0000055	bud
19	OOPS:xxxxxxx	Not known, but possibly vectored by the insects Sogatella kolophon and S. yubana of Cocos nucifera L.	NCBITaxon:91729	Not known	NCBITaxon:13894	Cocos nucifera L.	http://purl.obolibrary.org/obo/PO_0000055	bud
21	OOPS:xxxxxxx	genus Nepovirus, Tomato ringspot virus of Prunus persica	NCBITaxon:12280	Tomato ringspot virus	NCBITaxon:3760	Prunus persica	http://purl.obolibrary.org/obo/PO_0000055	bud
22	OOPS:xxxxxxx	genus Nepovirus, Tomato ringspot virus of Prunus persica var. nucipersica	NCBITaxon:12280	Tomato ringspot virus	NCBITaxon:3760	Prunus persica var. nucipersica	http://purl.obolibrary.org/obo/PO_0000055	bud
23	OOPS:xxxxxxx	Tomato spotted wilt virus of Arachis hypogaea L.	NCBITaxon:11613	Tomato spotted wilt virus	NCBITaxon:3818	Arachis hypogaea L.	http://purl.obolibrary.org/obo/PO_0000055	bud
30	OOPS:xxxxxxx	Pseudomonas syringae pv. syringae van Hall of Prunus avium	NCBITaxon:205918	Pseudomonas syringae pv. syringae van Hall	NCBITaxon:42229	Prunus avium	http://purl.obolibrary.org/obo/PO_0000055	bud
31	OOPS:xxxxxxx	Pseudomonas syringae pv. syringae van Hall of Prunus cerasus	NCBITaxon:205918	Pseudomonas syringae pv. syringae van Hall	NCBITaxon:140311	Prunus cerasus	http://purl.obolibrary.org/obo/PO_0000055	bud
37	OOPS:xxxxxxx	Pleurotus ostreatus of Pistacia vera L.	NCBITaxon:1137139	Pleurotus ostreatus (Jacq.	NCBITaxon:55513	Pistacia vera L.	http://purl.obolibrary.org/obo/PO_0004513	sapwood
39	OOPS:xxxxxxx	Schizophyllum commune Fr.:Fr. of Pistacia vera L.	NCBITaxon:1314666	Schizophyllum commune Fr.	NCBITaxon:55513	Pistacia vera L.	http://purl.obolibrary.org/obo/PO_0004513	sapwood
41	OOPS:xxxxxxx	Phomopsis mali Roberts of Malus ÌÑ domestica Borkh.	NCBITaxon:1494841	Phomopsis mali Roberts	NCBITaxon:3749	Malus ÌÑ domestica Borkh.	http://purl.obolibrary.org/obo/PO_0004518	bark
