iri	iri label	pathogen	pathogen label	host	host label
OOPS:0002038	Alfalfa witches’-broom	NCBITaxon_33926	‘Candidatus Phytoplasma asteris’	NCBITaxon_3879	Medicago sativa L.
OOPS:0002039	Alfalfa witches’-broom	NCBITaxon_33926	‘Candidatus Phytoplasma aurantifolia’	NCBITaxon_3879	Medicago sativa L.
OOPS:0002041	Australian lucerne yellows	NCBITaxon_33926	‘Candidatus Phytoplasma aurantifolia’	NCBITaxon_3879	Medicago sativa L.
OOPS:0002383	Sweetpotato little leaf	NCBITaxon_33926	‘Candidatus Phytoplasma aurantifolia’	NCBITaxon_4120	Ipomoea batatas [L.] Lam.
OOPS:0002042	Australian lucerne yellows	NCBITaxon_33926	‘Candidatus Phytoplasma australiense’	NCBITaxon_3879	Medicago sativa L.
OOPS:0002040	Alfalfa witches’-broom	NCBITaxon_33926	‘Candidatus Phytoplasma fraxini’	NCBITaxon_3879	Medicago sativa L.
OOPS:0001915	Dry root rot	NCBITaxon_348105	(= Rhizoctonia bataticola (Taubenhaus) E.J. Butler)	NCBITaxon_3827	Cicer arietinum L.
OOPS:0003060	Southern corn leaf blight and stalk rot	NCBITaxon_5016	(anamorph: Bipolaris maydis (Nisikado & Miyake) Shoemaker	NCBITaxon_4577	Zea mays L.
OOPS:0003036	Leaf spots, minor	NCBITaxon_45130	(anamorph: Bipolaris sorokiniana (Sacc.) Shoemaker	NCBITaxon_4577	Zea mays L.
OOPS:0002657	Bending head* (Le couer qui penche)	NCBITaxon_13001	(anamorph: Chalara paradoxa (De Seyn.) Sacc.	NCBITaxon_42345	Phoenix dactylifera L.
OOPS:0002660	Black scorch* (Medjnoon)	NCBITaxon_13001	(anamorph: Chalara paradoxa (De Seyn.) Sacc.)	NCBITaxon_42345	Phoenix dactylifera L.
OOPS:0002662	Terminal bud rot*	NCBITaxon_13001	(anamorph: Chalara paradoxa (De Seyn.) Sacc.)	NCBITaxon_42345	Phoenix dactylifera L.
OOPS:0002665	Taches brunes* (brown leaf spot)	NCBITaxon_29918	(anamorph: Cladosporium herbarum (Per.:Fr.) Link)	NCBITaxon_42345	Phoenix dactylifera L.
OOPS:0000570	Bitter rot	NCBITaxon_474922	(anamorph: Colletotrichum gloeosporioides (Penz.) Penz. & Sacc. in Penz.	NCBITaxon_23211	Pyrus communis L.
OOPS:0000536	Anthracnose canker and bull's-eye rot	NCBITaxon_108569	(anamorph: Cryptosporiopsis curvispora (Peck) Gremmen in Boerema & Gremmen)	NCBITaxon_23211	Pyrus communis L.
OOPS:0000539	Perennial canker	NCBITaxon_143941	(anamorph: Cryptosporiopsis perennans (Zeller & Childs) Wollenweb.)	NCBITaxon_23211	Pyrus communis L.
OOPS:0000578	European canker	NCBITaxon_56674	(anamorph: Cylindrocarpon heteronemum (Berk. & Broome) Wollenweb.)	NCBITaxon_23211	Pyrus communis L.
OOPS:0000546	Valsa canker	NCBITaxon_252746	(anamorph: Cytospora sacculus (Schwein.) Gvritischvili)	NCBITaxon_23211	Pyrus communis L.
OOPS:0003014	Physalospora ear rot (Botryosphaeria ear rot)	NCBITaxon_371119	(anamorph: Diplodia frumenti Ellis & Everh.)	NCBITaxon_4577	Zea mays L.
OOPS:0000583	Diplodia canker	NCBITaxon_85927	(anamorph: Diplodia mutila (Fr.:Fr.) Mont.)	NCBITaxon_23211	Pyrus communis L.
OOPS:0002913	Tan spot (yellow leaf spot)	NCBITaxon_45151	(anamorph: Drechslera tritici-repentis (Died.) Shoemaker	NCBITaxon_4550	Secale cereale L.
OOPS:0000564	Fabraea leaf and fruit spot	NCBITaxon_446949	(anamorph: Entomosporium mespili (DC.) Sacc.)	NCBITaxon_23211	Pyrus communis L.
OOPS:0002919	Scab	NCBITaxon_5518	(anamorph: Fusarium graminearum Schwabe)	NCBITaxon_4550	Secale cereale L.
OOPS:0003083	Gibberella ear and stalk rot	NCBITaxon_5518	(anamorph: Fusarium graminearum Schwabe)	NCBITaxon_4577	Zea mays L.
