defined_class	defined_class label	pathogen	pathogen label	host	host label	plantstructure	plantstructure label	synonyms
PSO:0000014	Pseudomonas cichorii Bacterial leaf spot of Gerbera jamesonii H. Bolus ex J. D. Hook	NCBITaxon:1441629	Pseudomonas cichorii (Swingle 1925) Stapp 1928	NCBITaxon:13547	Gerbera jamesonii H. Bolus ex J. D. Hook	PO:0009025	leaf	Pseudomonas cichorii Bacterial leaf spot of Gerbera jamesonii H. Bolus ex J. D. Hook|Bacterial leaf spot
PSO:0000015	Ralstonia solanacearum Southern wilt of Gerbera jamesonii H. Bolus ex J. D. Hook	NCBITaxon:1457195	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	NCBITaxon:13547	Gerbera jamesonii H. Bolus ex J. D. Hook	PO:0000003	whole plant	Ralstonia solanacearum Southern wilt of Gerbera jamesonii H. Bolus ex J. D. Hook|Southern wilt
PSO:0000016	Alternaria alternata Alternaria leaf spot of Gerbera jamesonii H. Bolus ex J. D. Hook	NCBITaxon:187775	Alternaria alternata (Fr.	NCBITaxon:13547	Gerbera jamesonii H. Bolus ex J. D. Hook	PO:0009025	leaf	Alternaria alternata Alternaria leaf spot of Gerbera jamesonii H. Bolus ex J. D. Hook|Alternaria leaf spot
PSO:0000017	Thielaviopsis basicola Black root rot of Gerbera jamesonii H. Bolus ex J. D. Hook	NCBITaxon:124036	Thielaviopsis basicola (Berk. & Broome) Ferraris	NCBITaxon:13547	Gerbera jamesonii H. Bolus ex J. D. Hook	PO:0009005	root	Thielaviopsis basicola Black root rot of Gerbera jamesonii H. Bolus ex J. D. Hook|Black root rot
PSO:0000018	Chalara elegans Nag Raj & Kendr. [synanamorph] Black root rot of Gerbera jamesonii H. Bolus ex J. D. Hook	NCBITaxon:301394	Chalara elegans Nag Raj & Kendr. [synanamorph]	NCBITaxon:13547	Gerbera jamesonii H. Bolus ex J. D. Hook	PO:0009005	root	Chalara elegans Nag Raj & Kendr. [synanamorph] Black root rot of Gerbera jamesonii H. Bolus ex J. D. Hook|Black root rot
PSO:0000019	Botrytis cinerea Pers. Botrytis blight of Gerbera jamesonii H. Bolus ex J. D. Hook	NCBITaxon:1290391	Botrytis cinerea Pers.	NCBITaxon:13547	Gerbera jamesonii H. Bolus ex J. D. Hook	PO:0000003	whole plant	Botrytis cinerea Pers. Botrytis blight of Gerbera jamesonii H. Bolus ex J. D. Hook|Botrytis blight
PSO:0000020	Cercospora gerberae Chupp & Viegas Cercospora leaf spot of Gerbera jamesonii H. Bolus ex J. D. Hook	NCBITaxon:1247214	Cercospora gerberae Chupp & Viegas	NCBITaxon:13547	Gerbera jamesonii H. Bolus ex J. D. Hook	PO:0009025	leaf	Cercospora gerberae Chupp & Viegas Cercospora leaf spot of Gerbera jamesonii H. Bolus ex J. D. Hook|Cercospora leaf spot
PSO:0000021	Plasmopara sp. Downy mildew of Gerbera jamesonii H. Bolus ex J. D. Hook	NCBITaxon:4780	Plasmopara sp.	NCBITaxon:13547	Gerbera jamesonii H. Bolus ex J. D. Hook	PO:0000003	whole plant	Plasmopara sp. Downy mildew of Gerbera jamesonii H. Bolus ex J. D. Hook|Downy mildew
PSO:0000022	Fusarium solani Fusarium crown rot of Gerbera jamesonii H. Bolus ex J. D. Hook	NCBITaxon:1501798	Fusarium solani (Mart.) Sacc.	NCBITaxon:13547	Gerbera jamesonii H. Bolus ex J. D. Hook	PO:0000003	whole plant	Fusarium solani Fusarium crown rot of Gerbera jamesonii H. Bolus ex J. D. Hook|Fusarium crown rot
PSO:0000023	Fusarium oxysporum Schlechtend. Fusarium root rot of Gerbera jamesonii H. Bolus ex J. D. Hook	NCBITaxon:909455	Fusarium oxysporum Schlechtend.	NCBITaxon:13547	Gerbera jamesonii H. Bolus ex J. D. Hook	PO:0009005	root	Fusarium oxysporum Schlechtend. Fusarium root rot of Gerbera jamesonii H. Bolus ex J. D. Hook|Fusarium root rot
