defined_class	animaldamage	causalagent	host	plantstructure	synonyms	altid
PSO:0000849	banana and plantain animal damage	NCBITaxon:33208	NCBITaxon:4640	PO:0009011		
PSO:0000950	bean animal damage	NCBITaxon:33208	NCBITaxon:3885	PO:0009011	
PSO:0000240	cassava animal damage	NCBITaxon:33208	NCBITaxon:3983	PO:0009011		
PSO:0000349	grape animal damage	NCBITaxon:33208	NCBITaxon:3603	PO:0009011		
PSO:0000301	maize animal damage	NCBITaxon:33208	NCBITaxon:4577	PO:0009011		
PSO:0000500	potato animal damage	NCBITaxon:33208	NCBITaxon:4113	PO:0009011		
PSO:0000403	rice animal damage	NCBITaxon:33208	NCBITaxon:4530	PO:0009011		
PSO:0001050	sorghum animal damage	NCBITaxon:33208	NCBITaxon:4558	PO:0009011		
PSO:0002050	soybean animal damage	NCBITaxon:33208	NCBITaxon:3847	PO:0009011	
PSO:0000750	wheat animal damage	NCBITaxon:33208	NCBITaxon:4565	PO:0009011		
