defined_class	disease	pathogen	host	plantstructure	synonyms	altid	contributor	source	comment
PSO:0000900	bean bacterial disease	NCBITaxon:2	NCBITaxon:3885	PO:0009011			PSO:cooperl		
PSO:0000901	bean fungal disease	NCBITaxon:4751	NCBITaxon:3885	PO:0009011			PSO:cooperl		
PSO:0000902	bean viral disease	NCBITaxon:10239	NCBITaxon:3885	PO:0009011			PSO:cooperl		
PSO:0000903	bean oomycete disease	NCBITaxon:4762	NCBITaxon:3885	PO:0009011			PSO:cooperl		
PSO:0000904	bean bacterial brown spot disease	NCBITaxon:321	NCBITaxon:3885	PO:0009011			PSO:cooperl	APSNET:bean		
PSO:0000905	bean bacterial wilt disease	NCBITaxon:221278	NCBITaxon:3885	PO:0009011			PSO:cooperl	APSNET:bean		
PSO:0000906	bean common bacterial blight disease	NCBITaxon:317013	NCBITaxon:3885	PO:0009011			PSO:cooperl	APSNET:bean		
PSO:0000907	bean halo blight disease	NCBITaxon:319	NCBITaxon:3885	PO:0009011			PSO:cooperl	APSNET:bean		
PSO:0000908	bean Alternaria leaf spot fungal disease	NCBITaxon:5599	NCBITaxon:3885	PO:0009011			PSO:cooperl	APSNET:bean		
PSO:0000909	bean Alternaria pod spot fungal disease	NCBITaxon:5599	NCBITaxon:3885	PO:0009011			PSO:cooperl	APSNET:bean		
PSO:0000910	bean angular leaf spot fungal disease	NCBITaxon:687962	NCBITaxon:3885	PO:0009011			PSO:cooperl	APSNET:bean		
PSO:0000911	bean anthracnose fungal disease	NCBITaxon:290576	NCBITaxon:3885	PO:0009011			PSO:cooperl	APSNET:bean		
PSO:0000912	bean Aphanomyces root and hypocotyl rot ooymycete disease	NCBITaxon:100861	NCBITaxon:3885	PO:0009011			PSO:cooperl	APSNET:bean		
PSO:0000913	bean ashy stem blight fungal disease	NCBITaxon:35725	NCBITaxon:3885	PO:0009011	Charcoal rot		PSO:cooperl	APSNET:bean		
PSO:0000914	bean black node fungal disease 	NCBITaxon:749464	NCBITaxon:3885	PO:0009011	Ascochyta leaf spot		PSO:cooperl	APSNET:bean		
PSO:0000915	bean black root rot fungal disease 	NCBITaxon:124036	NCBITaxon:3885	PO:0009011			PSO:cooperl	APSNET:bean		
PSO:0000916	bean Cercospora leaf spot and blotch fungal disease 	NCBITaxon:132095	NCBITaxon:3885	PO:0009011			PSO:cooperl	APSNET:bean		
PSO:0000917	bean damping-off fungal disease 	NCBITaxon:456999	NCBITaxon:3885	PO:0009011			PSO:cooperl	APSNET:bean		
PSO:0000918	bean Diaporthe pod blight fungal disease	NCBITaxon:36923	NCBITaxon:3885	PO:0009011			PSO:cooperl	APSNET:bean		
PSO:0000919	bean floury leaf spot fungal disease	NCBITaxon:29914	NCBITaxon:3885	PO:0009011			PSO:cooperl	APSNET:bean		
PSO:0000920	bean Fusarium root rot fungal disease	NCBITaxon:120645	NCBITaxon:3885	PO:0009011			PSO:cooperl	APSNET:bean		
PSO:0000921	bean Fusarium yellows fungal disease	NCBITaxon:251360	NCBITaxon:3885	PO:0009011	Fusarium wilt		PSO:cooperl	APSNET:bean		
PSO:0000922	bean gray mold fungal disease	NCBITaxon:40559	NCBITaxon:3885	PO:0009011			PSO:cooperl	APSNET:bean		
PSO:0000923	bean Phyllosticta leaf spot fungal disease	NCBITaxon:749464	NCBITaxon:3885	PO:0009011			PSO:cooperl	APSNET:bean		
PSO:0000924	bean Phymatotrichum root rot fungal disease	NCBITaxon:231936	NCBITaxon:3885	PO:0009011	Cotton root rot		PSO:cooperl	APSNET:bean		
PSO:0000925	bean pink pod rot fungal disease	NCBITaxon:47278	NCBITaxon:3885	PO:0009011			PSO:cooperl	APSNET:bean		
PSO:0000926	bean powdery mildew fungal disease	NCBITaxon:62716	NCBITaxon:3885	PO:0009011			PSO:cooperl	APSNET:bean		
PSO:0000927	bean rust fungal disease	NCBITaxon:5264	NCBITaxon:3885	PO:0009011			PSO:cooperl	APSNET:bean		
PSO:0000928	bean scab fungal disease	NCBITaxon:390893	NCBITaxon:3885	PO:0009011			PSO:cooperl	APSNET:bean		
PSO:0000929	bean southern blight fungal disease	NCBITaxon:39291	NCBITaxon:3885	PO:0009011			PSO:cooperl	APSNET:bean		
PSO:0000930	bean speckle fungal disease	NCBITaxon:749894	NCBITaxon:3885	PO:0009011			PSO:cooperl	APSNET:bean		
PSO:0000931	bean web blight fungal disease	NCBITaxon:456999	NCBITaxon:3885	PO:0009011			PSO:cooperl	APSNET:bean		
PSO:0000932	bean white mold fungal disease	NCBITaxon:5180	NCBITaxon:3885	PO:0009011	Sclerotinia rot		PSO:cooperl	APSNET:bean		
PSO:0000933	bean yeast spot fungal disease	NCBITaxon:33169	NCBITaxon:3885	PO:0009011			PSO:cooperl	APSNET:bean		
PSO:0000934	bean downy mildew oomycete disease	NCBITaxon:4792	NCBITaxon:3885	PO:0009011			PSO:cooperl	APSNET:bean		
