defined_class	disease	pathogen	host	plantstructure	synonyms	altid	orcid	source	comment
PSO:0000015	potato fungal disease	NCBITaxon:4751	NCBITaxon:4113	PO:0009011			PSO:cooperl		
PSO:0000014	potato bacterial disease	NCBITaxon:2	NCBITaxon:4113	PO:0009011			PSO:cooperl		
PSO:0000016	potato viral disease	NCBITaxon:10239	NCBITaxon:4113	PO:0009011			PSO:cooperl		
PSO:0000017	potato oomycete disease	NCBITaxon:4762	NCBITaxon:4113	PO:0009011			PSO:cooperl		
PSO:0000600	potato black dot fungal disease	NCBITaxon:27358	NCBITaxon:4113	PO:0009025			0000-0003-4638-3126|PSO:cooperl	PMID:3082325|APSNET:Potato	
PSO:0000601	potato brown spot fungal disease	NCBITaxon:5599	NCBITaxon:4113	PO:0009025	potato black pit disease		0000-0003-4638-3126|PSO:cooperl	PMID:36480734|APSNET:Potato	
PSO:0000602	potato Cercospora leaf blotch fungal disease	NCBITaxon:1579225	NCBITaxon:4113	PO:0009025			PSO:cooperl	APSNET:Potato	
PSO:0000603	potato charcoal rot fungal disease	NCBITaxon:35725	NCBITaxon:4113	PO:0009011			PSO:cooperl	APSNET:Potato	
PSO:0000604	potato Choanephora blight fungal disease	NCBITaxon:101091	NCBITaxon:4113	PO:0009011			PSO:cooperl	APSNET:Potato	
PSO:0000605	potato common rust fungal disease	NCBITaxon:573697	NCBITaxon:4113	PO:0009011			PSO:cooperl	APSNET:Potato	
PSO:0000606	potato deforming rust fungal disease	NCBITaxon:73163	NCBITaxon:4113	PO:0009011			PSO:cooperl	APSNET:Potato	
PSO:0000607	potato early blight fungal disease	NCBITaxon:48100	NCBITaxon:4113	PO:0009011			0000-0003-4638-3126|PSO:cooperl	PMID:37900754|APSNET:Potato	
PSO:0000608	potato Fusarium dry rot fungal disease	NCBITaxon:5128|NCBITaxon:5507|NCBITaxon:5518|NCBITaxon:169388	NCBITaxon:4113	PO:0004547			0000-0003-4638-3126|PSO:cooperl	PMID:33163322|APSNET:Potato	F. sambucinum is the most aggressive pathogen for this disease in major parts of Europe, China and North America
PSO:0000609	potato Fusarium wilt fungal disease	NCBITaxon:40199|NCBITaxon:5507|NCBITaxon:341726	NCBITaxon:4113	PO:0004547			0000-0003-4638-3126|PSO:cooperl	APSNET:Potato	
PSO:0000610	potato Gangrene fungal disease	NCBITaxon:749552	NCBITaxon:4113	PO:0009011			PSO:cooperl	APSNET:Potato	
PSO:0000611	potato gray mold fungal disease	NCBITaxon:40559	NCBITaxon:4113	PO:0009011			PSO:cooperl	APSNET:Potato	
PSO:0000612	potato Phoma leaf spot fungal disease	NCBITaxon:749883 	NCBITaxon:4113	PO:0009025			PSO:cooperl	APSNET:Potato	
PSO:0000613	potato Pleospora herbarum fungal disease	NCBITaxon:119933	NCBITaxon:4113	PO:0009011			PSO:cooperl	APSNET:Potato	
PSO:0000614	potato powdery mildew fungal disease	NCBITaxon:62708	NCBITaxon:4113	PO:0009011			PSO:cooperl	APSNET:Potato	
PSO:0000616	potato black scurf fungal disease	NCBITaxon:456999	NCBITaxon:4113	PO:0009011	Rhizoctonia canker		0000-0003-4638-3126|PSO:cooperl	DOI:10.1111/j.1439-0434.2010.01671.x|APSNET:Potato	
PSO:0000617	potato Septoria leaf spot fungal disease	NCBITaxon:397756	NCBITaxon:4113	PO:0009011			PSO:cooperl	APSNET:Potato	
PSO:0000618	potato silver scurf fungal disease	NCBITaxon:58128	NCBITaxon:4113	PO:0009011			0000-0003-4638-3126|PSO:cooperl	PMID:30781194|APSNET:Potato	
PSO:0000619	potato skin spot fungal disease	NCBITaxon:493204	NCBITaxon:4113	PO:0009011			PSO:cooperl	APSNET:Potato	
PSO:0000620	potato stem rot fungal disease	NCBITaxon:39291	NCBITaxon:4113	PO:0009011	Southern blight		PSO:cooperl	APSNET:Potato	
PSO:0000621	potato Thecaphora smut fungal disease	NCBITaxon:241770	NCBITaxon:4113	PO:0009011			PSO:cooperl	APSNET:Potato	
PSO:0000622	potato Ulocladium blight fungal disease	NCBITaxon:119953	NCBITaxon:4113	PO:0009011			PSO:cooperl	APSNET:Potato	
PSO:0000623	Potato Verticillium wilt fungal disease	NCBITaxon:27335|NCBITaxon:27337	NCBITaxon:4113	PO:0009011			0000-0003-4638-3126|PSO:cooperl	PMID:37900754|APSNET:Potato	
PSO:0000624	potato wart fungal disease	NCBITaxon:286115	NCBITaxon:4113	PO:0009011			PSO:cooperl	APSNET:Potato	
PSO:0000625	potato white mold fungal disease	NCBITaxon:5180	NCBITaxon:4113	PO:0009011			PSO:cooperl	APSNET:Potato	
PSO:0000626	potato bacterial wilt disease	NCBITaxon:305	NCBITaxon:4113	PO:0009011			PSO:cooperl	APSNET:Potato	
PSO:0000627	potato blackleg and bacterial soft rot disease	NCBITaxon:554|NCBITaxon:556	NCBITaxon:4113	PO:0009011			PSO:cooperl	APSNET:Potato	
PSO:0000628	potato pink eye bacterial disease	NCBITaxon:294	NCBITaxon:4113	PO:0009011			PSO:cooperl	APSNET:Potato	
PSO:0000629	potato ring rot bacterial disease	NCBITaxon:31964	NCBITaxon:4113	PO:0009011			0000-0003-4638-3126|PSO:cooperl	DOI:10.1111/mpp.13191|APSNET:Potato	
PSO:0000630	potato common scab bacterial disease	NCBITaxon:1930	NCBITaxon:4113	PO:0009011			PSO:cooperl	APSNET:Potato	
PSO:0000631	potato soft rot bacterial disease	NCBITaxon:554	NCBITaxon:4113	PO:0004547			0000-0003-4638-3126|PSO:cooperl	PMID:32062292|APSNET:Potato	
PSO:0000632	potato zebra chip bacterial disease	NCBITaxon:556287	NCBITaxon:4113	PO:0009011	ZC		0000-0003-4638-3126|PSO:cooperl	PMID:34367101|APSNET:Potato	
PSO:0000633	potato late blight oomycete disease	NCBITaxon:4787	NCBITaxon:4113	PO:0009025|PO:0004547|PO:0009047			0000-0003-4638-3126|PSO:cooperl	PMID:37836173|APSNET:Potato
PSO:0000634	potato Phytophthora spp. pink rot oomycete disease	NCBITaxon:910611	NCBITaxon:4113	PO:0009011			0000-0003-4638-3126|PSO:cooperl	PMID:30682275|APSNET:Potato
PSO:0000635	potato leaf spot oomycete disease	NCBITaxon:4792	NCBITaxon:4113	PO:0009025			0000-0003-4638-3126|PSO:cooperl	DOI:10.1094/PDIS-92-4-0492|APSNET:Potato
PSO:0000636	potaton Pythium spp. leak oomycete disease	NCBITaxon:4797	NCBITaxon:4113	PO:0009011			PSO:cooperl	APSNET:Potato
PSO:0000637	potato spindle tuber viroid disease	NCBITaxon:12892	NCBITaxon:4113	PO:0009025|PO:0004547	PSTV		0000-0003-4638-3126|PSO:cooperl	PMID:19400635|APSNET:Potato
PSO:0000638	potato alfalfa mosaic virus disease	NCBITaxon:12321	NCBITaxon:4113	PO:0009011	AMV		PSO:cooperl	APSNET:Potato
PSO:0000639	potato Andean potato latent virus disease	NCBITaxon:73819	NCBITaxon:4113	PO:0009011	APLV		PSO:cooperl	APSNET:Potato
PSO:0000640	potato Andean potato mottle virus viral disease	NCBITaxon:12259	NCBITaxon:4113	PO:0009011	APMV		PSO:cooperl	APSNET:Potato
PSO:0000641	potato beet curly top virus disease	NCBITaxon:10840	NCBITaxon:4113	PO:0009011	BCTV		PSO:cooperl	APSNET:Potato
PSO:0000642	potato cucumber mosaic virus disease	NCBITaxon:12305	NCBITaxon:4113	PO:0009011	CMV		PSO:cooperl	APSNET:Potato
PSO:0000643	potato eggplant mottled dwarf virus disease	NCBITaxon:488317	NCBITaxon:4113	PO:0009011	EMDV		PSO:cooperl	APSNET:Potato
PSO:0000644	potato aucuba mosaic virus disease	NCBITaxon:12182	NCBITaxon:4113	PO:0009011	PAMV		PSO:cooperl	APSNET:Potato
PSO:0000645	potato black ringspot virus disease	NCBITaxon:257464	NCBITaxon:4113	PO:0009011	PBRSV		PSO:cooperl	APSNET:Potato
PSO:0000646	potato latent virus disease	NCBITaxon:138982	NCBITaxon:4113	PO:0009011	PLV		PSO:cooperl	APSNET:Potato
PSO:0000647	potato leaf roll virus disease	NCBITaxon:12045	NCBITaxon:4113	PO:0009025|PO:0004547	PLRV		0000-0002-5451-1848|PSO:cooperl	ISBN:9780890540275|ISBN:9781483267418|APSNET:Potato
PSO:0000648	potato mop-top virus disease	NCBITaxon:37128	NCBITaxon:4113	PO:0009011	PMTV		PSO:cooperl	APSNET:Potato
PSO:0000649	potato stem mottle virus disease	NCBITaxon:12295	NCBITaxon:4113	PO:0009011	TRV		PSO:cooperl	APSNET:Potato
PSO:0000650	potato yellow dwarf virus disease	NCBITaxon:195060	NCBITaxon:4113	PO:0009011	PYDV		PSO:cooperl	APSNET:Potato
PSO:0000651	potato yellow mosaic virus disease	NCBITaxon:10827	NCBITaxon:4113	PO:0009011	PYMV		PSO:cooperl	APSNET:Potato
PSO:0000652	potato yellow vein virus disease	NCBITaxon:103881	NCBITaxon:4113	PO:0009011	PYVV		PSO:cooperl	APSNET:Potato
PSO:0000653	potato yellowing virus disease	NCBITaxon:936004	NCBITaxon:4113	PO:0009011	PYV		0000-0002-5451-1848|PSO:cooperl	
PSO:0000654	potato virus A disease	NCBITaxon:12215	NCBITaxon:4113	PO:0009025|PO:0004547	PVA		0000-0002-5451-1848|PSO:cooperl	ISBN:9780890540275|ISBN:9781483267418|APSNET:Potato
PSO:0000655	potato virus M disease	NCBITaxon:12167	NCBITaxon:4113	PO:0009025|PO:0004547	PVM		0000-0002-5451-1848|PSO:cooperl	DOI:10.1007/978-94-007-0842-6_10|APSNET:Potato
PSO:0000656	potato virus S disease	NCBITaxon:12169	NCBITaxon:4113	PO:0009025			PSO:cooperl	ISBN:9780890540275|ISBN:9781483267418|APSNET:Potato
PSO:0000657	potato virus T disease	NCBITaxon:36403	NCBITaxon:4113	PO:0009011			PSO:cooperl	APSNET:Potato
PSO:0000658	potato virus U disease	NCBITaxon:2170039	NCBITaxon:4113	PO:0009011	PVU		PSO:cooperl	APSNET:Potato
PSO:0000659	potato virus V disease	NCBITaxon:40640	NCBITaxon:4113	PO:0009011	PVV		0000-0002-5451-1848|PSO:cooperl	APSNET:Potato
PSO:0000660	potato virus X disease	NCBITaxon:12183	NCBITaxon:4113	PO:0009025|PO:0004547	PVX		0000-0002-5451-1848|PSO:cooperl	ISBN:9780890540275|ISBN:9781483267418|APSNET:Potato
PSO:0000661	potato virus Y disease	NCBITaxon:12216	NCBITaxon:4113	PO:0009011	PVY		PSO:cooperl	APSNET:Potato
PSO:0000662	potato Solanum apical leaf curling virus disease	NCBITaxon:391228	NCBITaxon:4113	PO:0009011			PSO:cooperl	APSNET:Potato
PSO:0000663	potato sowbane mosaic virus disease	NCBITaxon:378833	NCBITaxon:4113	PO:0009011	SoMV		PSO:cooperl	APSNET:Potato
PSO:0000664	potato tobacco mosaic virus disease	NCBITaxon:12242	NCBITaxon:4113	PO:0009011	TMV		PSO:cooperl	APSNET:Potato
PSO:0000665	potato tobacco necrosis virus disease	NCBITaxon:12054	NCBITaxon:4113	PO:0009011	TNV		PSO:cooperl	APSNET:Potato
PSO:0000666	potato tobacco streak virus disease	NCBITaxon:12317	NCBITaxon:4113	PO:0009011	TSV		PSO:cooperl	APSNET:Potato
PSO:0000667	potato tomato black ring virus disease	NCBITaxon:12275	NCBITaxon:4113	PO:0009011	ToBRV		PSO:cooperl	APSNET:Potato
PSO:0000668	potato tomato mosaic virus disease	NCBITaxon:12253	NCBITaxon:4113	PO:0009011	ToMV		PSO:cooperl	APSNET:Potato
PSO:0000669	potato tomato spotted wilt virus disease	NCBITaxon:3052585	NCBITaxon:4113	PO:0009011	TSWV		PSO:cooperl	APSNET:Potato
PSO:0000670	potato tomato yellow mosaic virus disease	NCBITaxon:95525	NCBITaxon:4113	PO:0009011	ToYMV		PSO:cooperl	APSNET:Potato
