defined_class	disease	pathogen	host	plantstructure	synonyms	altid	orcid	source	comment
PSO:0000009	grape viral disease	NCBITaxon:10239	NCBITaxon:29760	PO:0009011			PSO:cooperl		
PSO:0000010	grape oomycete disease	NCBITaxon:4762	NCBITaxon:29760	PO:0009011			PSO:cooperl		
PSO:0000018	grape bacterial disease	NCBITaxon:2	NCBITaxon:29760	PO:0009011			PSO:cooperl		
PSO:0000019	grape fungal disease	NCBITaxon:4751	NCBITaxon:29760	PO:0009011			PSO:cooperl		
PSO:0000243	grape bacterial blight bacterial disease	NCBITaxon:54067	NCBITaxon:29760	PO:0009011			PSO:cooperl	APSNET:Grape	
PSO:0000244	grape crown gall bacterial disease	NCBITaxon:373	NCBITaxon:29760	PO:0008039			PSO:cooperl	APSNET:Grape	
PSO:0000245	grape Pierce’s bacterial disease	NCBITaxon:2371	NCBITaxon:29760	PO:0005352			PSO:cooperl	APSNET:Grape	
PSO:0000246	grape Acetobacter sour rot bacterial disease	NCBITaxon:434	NCBITaxon:29760	PO:0009011			PSO:cooperl	APSNET:Grape	
PSO:0000247	grape Gluconobacter sour rot bacterial disease	NCBITaxon:441	NCBITaxon:29760	PO:0009011			PSO:cooperl	APSNET:Grape	
PSO:0000248	grape powdery mildew fungal disease	NCBITaxon:52586	NCBITaxon:29760	PO:0009011			PSO:cooperl	APSNET:Grape	
PSO:0000249	grape angular leaf scorch fungal disease	NCBITaxon:2052307	NCBITaxon:29760	PO:0009025			PSO:cooperl	APSNET:Grape	
PSO:0000250	grape Anthracnose fungal disease	NCBITaxon:302913	NCBITaxon:29760	PO:0009011	Bird’s-eye rot|Black spot		PSO:cooperl	APSNET:Grape	
PSO:0000251	grape Armillaria root rot fungal disease	NCBITaxon:47429	NCBITaxon:29760	PO:0009005	Oak root rot		PSO:cooperl	APSNET:Grape	
PSO:0000252	grape Alternaria rot fungal disease	NCBITaxon:5599	NCBITaxon:29760	PO:0009011			PSO:cooperl	APSNET:Grape	
PSO:0000253	grape Aspergillus rot fungal disease	NCBITaxon:5061	NCBITaxon:29760	PO:0009011			PSO:cooperl	APSNET:Grape	
PSO:0000254	grape blue mold fungal disease	NCBITaxon:5073	NCBITaxon:29760	PO:0009011			PSO:cooperl	APSNET:Grape	
PSO:0000255	grape Cladosporium rot fungal disease	NCBITaxon:29918	NCBITaxon:29760	PO:0009011			PSO:cooperl	APSNET:Grape	
PSO:0000256	grape Rhizopus rot fungal disease	NCBITaxon:64495	NCBITaxon:29760	PO:0009011			PSO:cooperl	APSNET:Grape	
PSO:0000257	grape bitter rot fungal disease	NCBITaxon:172198	NCBITaxon:29760	PO:0009011			PSO:cooperl	APSNET:Grape	
PSO:0000258	grape black foot fungal disease	NCBITaxon:307939|NCBITaxon:307969|NCBITaxon:13474	NCBITaxon:29760	PO:0009011			PSO:cooperl	APSNET:Grape	
PSO:0000259	grape Botryosphaeria dieback fungal disease	NCBITaxon:115983|NCBITaxon:55169|NCBITaxon:236234|NCBITaxon:85927|NCBITaxon:420778|NCBITaxon:1046587|NCBITaxon:286282|NCBITaxon:1740602|NCBITaxon:1766648|NCBITaxon:1740603|NCBITaxon:323561|NCBITaxon:1936760|NCBITaxon:336254|NCBITaxon:1046588|NCBITaxon:45133|NCBITaxon:1046589|NCBITaxon:240362|NCBITaxon:120395|NCBITaxon:333526|NCBITaxon:467987|NCBITaxon:310453|NCBITaxon:240342|NCBITaxon:240343|NCBITaxon:240344	NCBITaxon:29760	PO:0009011	Black dead arm|Botryosphaeria canker|Diplodia cane dieback		PSO:cooperl	APSNET:Grape	
PSO:0000260	grape Botrytis bunch rot and blight	NCBITaxon:40559	NCBITaxon:29760	PO:0006342			PSO:cooperl	APSNET:Grape	
PSO:0000261	grape Brulure fungal disease	NCBITaxon:131338	NCBITaxon:29760	PO:0009011			PSO:cooperl	APSNET:Grape	
PSO:0000262	grape Cercospora leaf spot fungal disease	NCBITaxon:509209	NCBITaxon:29760	PO:0009025			PSO:cooperl	APSNET:Grape	
PSO:0000263	grape Passalora leaf spot fungal disease	NCBITaxon:1350541	NCBITaxon:29760	PO:0009025			PSO:cooperl	APSNET:Grape	
PSO:0000264	grape Dematophora root rot fungal disease	NCBITaxon:77044	NCBITaxon:29760	PO:0009005			PSO:cooperl	APSNET:Grape	
PSO:0000265	grape Eutypa dieback fungal disease	NCBITaxon:97096|NCBITaxon:97095	NCBITaxon:29760	PO:0009011			PSO:cooperl	APSNET:Grape	
PSO:0000266	grape leaf rust fungal disease	NCBITaxon:460369	NCBITaxon:29760	PO:0009025			PSO:cooperl	APSNET:Grape	
PSO:0000267	grape leaf stripe fungal disease	NCBITaxon:223192|NCBITaxon:65412|NCBITaxon:158046	NCBITaxon:29760	PO:0009025			PSO:cooperl	APSNET:Grape	
PSO:0000268	grape leaf blight fungal disease	NCBITaxon:337446	NCBITaxon:29760	PO:0009025			PSO:cooperl	APSNET:Grape	
PSO:0000269	grape Macrophoma rot fungal disease	NCBITaxon:55169	NCBITaxon:29760	PO:0009011			PSO:cooperl	APSNET:Grape	
PSO:0000270	grape Phomopsis cane and leaf spot fungal disease	NCBITaxon:1214573	NCBITaxon:29760	PO:0009011			PSO:cooperl	APSNET:Grape	
PSO:0000271	grape Phymatotrichopsis root rot fungal disease	NCBITaxon:231936	NCBITaxon:29760	PO:0009005	Phymatotrichum root rot|Texas root rot|cotton root rot		PSO:cooperl	APSNET:Grape	
PSO:0000272	grape ripe rot fungal disease	NCBITaxon:474922|NCBITaxon:27357	NCBITaxon:29760	PO:0009011			PSO:cooperl	APSNET:Grape	
PSO:0000273	grape Rotbrenner fungal disease	NCBITaxon:2075325 	NCBITaxon:29760	PO:0009011			PSO:cooperl	APSNET:Grape	
PSO:0000274	grape sour rot fungal disease	NCBITaxon:5061|NCBITaxon:40993|NCBITaxon:29833|NCBITaxon:4909|NCBITaxon:1247836|NCBITaxon:27326|NCBITaxon:36015|NCBITaxon:4926|NCBITaxon:43959	NCBITaxon:29760	PO:0009011			PSO:cooperl	APSNET:Grape	
PSO:0000275	grape Verticillium wilt fungal disease	NCBITaxon:27337	NCBITaxon:29760	PO:0009011			PSO:cooperl	APSNET:Grape	
PSO:0000276	grape white rot fungal disease	NCBITaxon:332405	NCBITaxon:29760	PO:0009011			PSO:cooperl	APSNET:Grape	
PSO:0000277	grape Zonate leaf spot fungal disease	NCBITaxon:1855366	NCBITaxon:29760	PO:0009025			PSO:cooperl	APSNET:Grape	
PSO:0000278	grape Phytophthora crown and root rot oomycete disease	NCBITaxon:29920|NCBITaxon:4785|NCBITaxon:4786|NCBITaxon:4794|NCBITaxon:4792	NCBITaxon:29760	PO:0009011			PSO:cooperl	APSNET:Grape	
PSO:0000279	grape downy mildew oomycete disease	NCBITaxon:143451	NCBITaxon:29760	PO:0009011			PSO:cooperl	APSNET:Grape	
PSO:0000280	grape Corky bark viral disease	NCBITaxon:35289	NCBITaxon:29760	PO:0009025	Rugose Wood complex		PSO:cooperl	APSNET:Grape	
PSO:0000281	grape Fanleaf degeneration viral disease 	NCBITaxon:12274	NCBITaxon:29760	PO:0009025			PSO:cooperl	APSNET:Grape	
PSO:0000282	grape Asteroid mosaic viral disease	NCBITaxon:2169998	NCBITaxon:29760	PO:0009011			PSO:cooperl	APSNET:Grape	
PSO:0000283	grape Fleck viral disease	NCBITaxon:103722	NCBITaxon:29760	PO:0009011			PSO:cooperl	APSNET:Grape	
PSO:0000284	grape redglobe viral disease	NCBITaxon:103723	NCBITaxon:29760	PO:0009011			PSO:cooperl	APSNET:Grape	
PSO:0000285	grape Rupestris vein feathering viral disease	NCBITaxon:204933	NCBITaxon:29760	PO:0009011			PSO:cooperl	APSNET:Grape	
PSO:0000286	grape angular mosaic viral disease	NCBITaxon:273001	NCBITaxon:29760	PO:0009011			PSO:cooperl	APSNET:Grape	
PSO:0000287	grape berry inner necrosis viral disease	NCBITaxon:81877	NCBITaxon:29760	PO:0030108			PSO:cooperl	APSNET:Grape	
PSO:0000288	grape leafroll disease viral disease	NCBITaxon:47985|NCBITaxon:64003|NCBITaxon:55951|NCBITaxon:70177|NCBITaxon:217615	NCBITaxon:29760	PO:0009025			PSO:cooperl	APSNET:Grape	
PSO:0000289	grape graft incompatibility viral disease	NCBITaxon:64003	NCBITaxon:29760	PO:0009011			PSO:cooperl	APSNET:Grape	
PSO:0000290	grape line pattern viral disease	NCBITaxon:2741672	NCBITaxon:29760	PO:0009011			PSO:cooperl	APSNET:Grape	
PSO:0000291	grape little berry viral disease	NCBITaxon:12280	NCBITaxon:29760	PO:0030108			PSO:cooperl	APSNET:Grape	
PSO:0000292	grape red blotch viral disease	NCBITaxon:1381007	NCBITaxon:29760	PO:0009011			PSO:cooperl	APSNET:Grape	
PSO:0000293	grape Roditis leaf discoloration viral disease	NCBITaxon:11986|NCBITaxon:35289	NCBITaxon:29760	PO:0009025			PSO:cooperl	APSNET:Grape	
PSO:0000294	grape yellow mottle viral disease	NCBITaxon:12321	NCBITaxon:29760	PO:0009011			PSO:cooperl	APSNET:Grape	
PSO:0000295	grape yellow speckle disease viral disease	NCBITaxon:12904|NCBITaxon:46342	NCBITaxon:29760	PO:0009011			PSO:cooperl	APSNET:Grape	
PSO:0000296	grape yellow vein viral disease	NCBITaxon:12280	NCBITaxon:29760	PO:0009015			PSO:cooperl	APSNET:Grape	
PSO:0000297	grape Rupestris stem pitting viral disease	NCBITaxon:196400	NCBITaxon:29760	PO:0009047			PSO:cooperl	APSNET:Grape	
PSO:0000298	grape vein banding viral disease	NCBITaxon:12905|NCBITaxon:12274	NCBITaxon:29760	PO:0009015			PSO:cooperl	APSNET:Grape	
PSO:0000299	grape virus-induced grapevine decline viral disease	NCBITaxon:65068|NCBITaxon:12282|NCBITaxon:12280	NCBITaxon:29760	PO:0009011			PSO:cooperl	APSNET:Grape	
PSO:0000300	grape Kober stem grooving viral disease	NCBITaxon:35288 	NCBITaxon:29760	PO:0009011			PSO:cooperl	APSNET:Grape	
