defined_class	disease	pathogen	host	plantstructure	synonyms	altid	contributor	source	comment
PSO:0000023	maize Alternaria alternata minor leaf rot fungal disease	NCBITaxon:5599	NCBITaxon:4577	PO:0009025		PDO:0000189	PSO:cooperl	APSNET:maize	
PSO:0000024	maize Alternaria minor leaf spot fungal disease	NCBITaxon:5599	NCBITaxon:4577	PO:0009025		PDO:0000190	PSO:cooperl	APSNET:maize	
PSO:0000025	maize Alternaria minor root rot fungal disease	NCBITaxon:5599	NCBITaxon:4577	PO:0009005		PDO:0000191	PSO:cooperl	APSNET:maize	
PSO:0000026	maize Aspergillus flavus leaf rot fungal disease	NCBITaxon:5059	NCBITaxon:4577	PO:0009025		PDO:0000268	PSO:cooperl	APSNET:maize	
PSO:0000027	maize Aspergillus glaucus minor leaf rot fungal disease	NCBITaxon:41413	NCBITaxon:4577	PO:0009025		PDO:0000192	PSO:cooperl	APSNET:maize	
PSO:0000028	maize Aspergillus kernel rot fungal disease	NCBITaxon:5059	NCBITaxon:4577	PO:0030104		PDO:0000253	PSO:cooperl	APSNET:maize	
PSO:0000029	maize Aspergillus minor ear rot fungal disease	NCBITaxon:5052	NCBITaxon:4577	PO:0025597		PDO:0000270	PSO:cooperl	APSNET:maize	
PSO:0000030	maize Aspergillus niger leaf rot fungal disease	NCBITaxon:5061	NCBITaxon:4577	PO:0009025		PDO:0000267	PSO:cooperl	APSNET:maize	
PSO:0000031	maize Aureobasidium eyespot fungal disease	NCBITaxon:1592451	NCBITaxon:4577	PO:0009025		PDO:0000188	PSO:cooperl	APSNET:maize	
PSO:0000032	maize bacterial disease	NCBITaxon:2	NCBITaxon:4577	PO:0009011		PDO:0000011	PSO:cooperl	APSNET:maize	
PSO:0000033	maize bacterial leaf blight and stalk rot disease	NCBITaxon:80867	NCBITaxon:4577	PO:0009011		PDO:0000145	PSO:cooperl	APSNET:maize	
PSO:0000034	maize bacterial leaf spot disease	NCBITaxon:56459	NCBITaxon:4577	PO:0009025		PDO:0000146	PSO:cooperl	APSNET:maize	
PSO:0000035	maize bacterial stalk and top rot disease	NCBITaxon:555	NCBITaxon:4577	PO:0009011		PDO:0000148	PSO:cooperl	APSNET:maize	
PSO:0000036	maize bacterial stalk rot disease	NCBITaxon:69219	NCBITaxon:4577	PO:0009047		PDO:0000147	PSO:cooperl	APSNET:maize	
PSO:0000037	maize bacterial stripe disease	NCBITaxon:28092	NCBITaxon:4577	PO:0009011		PDO:0000149	PSO:cooperl	APSNET:maize	
