defined_class	disease	pathogen	host	plantstructure	synonyms	altid	contributor	source	comment	
PSO:0002000	soybean bacterial disease	NCBITaxon:2	NCBITaxon:3847	PO:0009011			PSO:cooperl		
PSO:0002001	soybean fungal disease	NCBITaxon:4751	NCBITaxon:3847	PO:0009011			PSO:cooperl		
PSO:0002002	soybean viral disease	NCBITaxon:10239	NCBITaxon:3847	PO:0009011			PSO:cooperl		
PSO:0002003	soybean oomycete disease	NCBITaxon:4762	NCBITaxon:3847	PO:0009011		PSO:cooperl		
PSO:0002004	soybean Bacillus seed decay bacterial disease	NCBITaxon:1423	NCBITaxon:3847	PO:0009011		SOY:0001435	PSO:cooperl	APSNET:soybean	
PSO:0002005	soybean bacterial blight disease	NCBITaxon:318	NCBITaxon:3847	PO:0009011		SOY:0001425	PSO:cooperl	APSNET:soybean	
PSO:0002006	soybean bacterial pustule disease	NCBITaxon:473421	NCBITaxon:3847	PO:0009010		SOY:0001338	PSO:cooperl	APSNET:soybean	
PSO:0002007	soybean bacterial tan spot disease	NCBITaxon:138532	NCBITaxon:3847	PO:0009011			PSO:cooperl	APSNET:soybean	
PSO:0002008	soybean bacterial wilt disease	NCBITaxon:138532|NCBITaxon:305	NCBITaxon:3847	PO:0009011			PSO:cooperl	APSNET:soybean	
PSO:0002009	soybean wildfire bacterial disease	NCBITaxon:322	NCBITaxon:3847	PO:0009011			PSO:cooperl	APSNET:soybean	
PSO:0002010	soybean Alternaria leaf spot fungal disease	NCBITaxon:5599	NCBITaxon:3847	PO:0009025			PSO:cooperl	APSNET:soybean	
PSO:0002011	soybean Alternaria pod necrosis fungal disease	NCBITaxon:1232592	NCBITaxon:3847	PO:0030100			PSO:cooperl	APSNET:soybean	
PSO:0002012	soybean Alternaria seed decay fungal disease	NCBITaxon:119927	NCBITaxon:3847	PO:0009010			PSO:cooperl	APSNET:soybean	
PSO:0002013	soybean anthracnose fungal disease	NCBITaxon:5467	NCBITaxon:3847	PO:0009011			PSO:cooperl	APSNET:soybean	
PSO:0002014	soybean Aristastoma leaf spot and yellowing fungal disease	NCBITaxon:1090493	NCBITaxon:3847	PO:0009011			PSO:cooperl	APSNET:soybean	
PSO:0002015	soybean brown spot fungal disease	NCBITaxon:215477	NCBITaxon:3847	PO:0009025	Septoria leaf spot		PSO:cooperl	APSNET:soybean	
PSO:0002016	soybean Cercospora leaf blight fungal disease	NCBITaxon:84275	NCBITaxon:3847	PO:0009025			PSO:cooperl	APSNET:soybean	
PSO:0002017	soybean Cercospora purple seed stain fungal disease	NCBITaxon:84275	NCBITaxon:3847	PO:0009010			PSO:cooperl	APSNET:soybean	
PSO:0002018	soybean Choanephora leaf blight fungal disease	NCBITaxon:101091|NCBITaxon:127959	NCBITaxon:3847	PO:0009011			PSO:cooperl	APSNET:soybean	
PSO:0002019	soybean Drechslera blight fungal disease	NCBITaxon:1659837	NCBITaxon:3847	PO:0009011	Cercospora leaf spot		PSO:cooperl	APSNET:soybean	
PSO:0002020	soybean frogeye leaf spot fungal disease	NCBITaxon:438356	NCBITaxon:3847	PO:0009011			PSO:cooperl	APSNET:soybean	
PSO:0002021	soybean Fusarium seed rot fungal disease	NCBITaxon:5506	NCBITaxon:3847	PO:0009011			PSO:cooperl	APSNET:soybean	
PSO:0002022	soybean Leptosphaerulina leaf spot fungal disease	NCBITaxon:205685	NCBITaxon:3847	PO:0009011			PSO:cooperl	APSNET:soybean	
PSO:0002023	soybean Phomopsis seed decay fungal disease	NCBITaxon:54899	NCBITaxon:3847	PO:0009010	Phyllosticta leaf blight		PSO:cooperl	APSNET:soybean	
PSO:0002024	soybean Phyllosticta leaf spot fungal disease	NCBITaxon:538540	NCBITaxon:3847	PO:0009025			PSO:cooperl	APSNET:soybean	
PSO:0002025	soybean pod and stem blight fungal disease	NCBITaxon:165439	NCBITaxon:3847	PO:0030100|PO:0009047			PSO:cooperl	APSNET:soybean	
PSO:0002026	soybean powdery mildew fungal disease	NCBITaxon:293983|NCBITaxon:79286	NCBITaxon:3847	PO:0009011			PSO:cooperl	APSNET:soybean	
PSO:0002027	soybean red leaf blotch fungal disease	NCBITaxon:1077358	NCBITaxon:3847	PO:0009025			PSO:cooperl	APSNET:soybean	
PSO:0002028	soybean Rhizoctonia foliar blight fungal disease	NCBITaxon:456999	NCBITaxon:3847	PO:0009025			PSO:cooperl	APSNET:soybean	
PSO:0002029	soybean rust fungal disease	NCBITaxon:169999|NCBITaxon:170000	NCBITaxon:3847	PO:0009011			PSO:cooperl	APSNET:soybean		
